#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
26,"Casas De Invierno","Candeias",24,130,"brazilian jazz, bossa nova","Sambaiana",2017-07-28,05:56,34,21,87,64,12,0,10,-16,C♯/D♭ Minor,4,2025-05-07,1TZZtWao3Z3g4DJMBPyrUp,12A,DETV71500033
27,"Amor para Sonhar","Barrio Jazz Gang",40,98,"nu jazz, acid jazz, jazz house","Barrio Jazz Gang, Vol. 2",2010-01-19,04:15,72,87,47,1,94,0,10,-8,E Minor,4,2025-05-07,3JZg1vj1XlweTsbALwJH2s,9A,ITB060900119
28,"Turbilhão","Toquinho,Mutinho",18,90,"bossa nova, mpb, brazilian jazz, samba","Vinicius & Toquinho",1975-01-01,03:25,55,52,68,0,95,0,0,-13,B Minor,4,2025-05-07,0EzD7kQBD35wiTerYvYgvF,10A,BRMCA7500011
29,"Acenda o farol","Tim Maia",69,123,"mpb","Brazilian Café",2019-11-08,03:12,57,88,6,0,69,10,0,-7,A Minor,4,2025-05-07,2kXkaplZ6HdXz5XYBtdunj,8A,BRWMB9801575
30,"Maré Vai Subir","João Selva",22,90,"","Onda",2025-01-10,04:01,85,46,60,27,80,0,10,-10,F#/G♭ Minor,4,2025-05-07,5LfqBkefPhEWqdc8dBf7ax,11A,FR05P2400469
31,"Barquinho","Joe Pass,Paulinho Da Costa",7,145,"jazz, bebop, vocal jazz, hard bop, yacht rock, jazz funk, jazz fusion, brazilian jazz, aor","Tudo Bem!",1978-01-01,06:10,61,61,90,88,79,0,10,-19,C Major,4,2025-05-07,5wzA3AytQb8Fbv611o63bd,8B,USFI87800123
32,"Bora Meu Bem","Marcos Valle",31,90,"bossa nova, brazilian jazz","Túnel Acústico",2024-09-20,05:34,78,63,79,2,88,0,0,-11,A#/B♭ Minor,4,2025-05-07,6xZzxhj3rioyUPfcdEeI5D,3A,GBDCR2400034
33,"No Bom Sentido","Robson Jorge,Lincoln Olivetti",33,102,"brazilian jazz","Robson Jorge e Lincoln Olivetti",1982-09-16,03:27,71,54,49,84,77,0,20,-10,A Major,4,2025-05-07,0x9cIYWlzLyWfQNLUpCmj1,11B,BRSGL8100062
34,"Marta","Ed Motta",33,111,"mpb, brazilian jazz, brazilian rock, brazilian pop","AOR (Brazilian Portuguese Version)",2013-04-23,04:20,81,56,62,36,85,0,10,-9,F#/G♭ Minor,4,2025-05-07,2eNRu973QbdpfXbi6VAAdB,11A,BRDWI1200014
35,"Llamada Insólita","Hugo Fattoruso",13,93,"candombe, murga, latin jazz, jazz fusion","Hugo Fattoruso y Barrio Opa",2018-06-29,06:22,37,63,27,89,53,0,20,-15,B Minor,4,2025-05-07,4pU0qyTH1knZIAz7SWh3S3,10A,GBDCR1800062
36,"Bye Bye","Cassiano,Karla Sabah",14,133,"mpb, bossa nova","Cedo Ou Tarde",1991-03-08,03:58,86,88,29,0,85,10,0,-5,G Major,4,2025-05-07,0bzBW6fA3tvjT6dVixQUq8,9B,BRSME9100080
37,"Circo marimbondo","Azymuth",22,102,"brazilian jazz, jazz funk, jazz fusion, acid jazz","Aguia Não Come Mosca (Remasterizado)",1977-00-00,02:26,74,89,22,1,87,20,0,-7,B Minor,4,2025-05-07,1igMNw01tIsQc4vQ5DayRO,10A,BRWMB9705403
38,"Que Belleza","Los Tigres",8,100,"","Que Belleza",1976-01-01,03:34,56,85,0,0,88,0,10,-7,C Minor,4,2025-05-07,2OdI3g04xZSYQbV5v6m9Pj,5A,ES18B2302793
39,"Que Beleza","Tim Maia",53,160,"mpb","World Psychedelic Classics 4: Nobody Can Live Forever: The Existential Soul of Tim Maia",2012-01-01,03:28,51,54,35,35,92,0,0,-8,F Minor,4,2025-05-07,73TTpGtSDdXRP8J7loLifZ,4A,USLB10710001
40,"Feels So Good","Marcos Valle,Leon Ware",27,98,"bossa nova, brazilian jazz, jazz funk, post-disco","Túnel Acústico",2024-09-20,04:28,56,89,35,0,79,0,10,-8,A Minor,4,2025-05-07,5J5OBEBN7EIbwI6zvqfquG,8A,GBDCR2400036
41,"Tudo Que Voce Podia Ser","Quarteto Em Cy",54,103,"bossa nova, mpb, brazilian jazz, samba","Quarteto Em Cy",1972-03-01,02:41,53,65,57,0,46,0,60,-9,E Major,4,2025-05-07,4iVpZVKaPUnMhEagBOIIuI,12B,BREMI7200292
42,"Come With Me","Tania Maria",45,95,"brazilian jazz, latin jazz, bossa nova, jazz funk","The Concord Jazz Heritage Series",1983-00-00,05:41,68,81,44,8,90,0,0,-8,B Minor,4,2025-05-07,6ikobz37HSj8vspHvQRt23,10A,USC4R0300827
